product_id,title,universe,image_url,bullet_points,min_rank_search,avg_rank_search,min_rank_category,avg_rank_category,retailer_category_node,retailer_brand_name,description_filled
B09MV1N9SM,"BARE PERFORMANCE NUTRITION, BPN Electrolytes Hydration Drink Mix, No Sugar, Keto, Salted Watermelon",breakfast cereal,"[""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/66ab043410faea21daa41bee8ef61334.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/cf09df7a15557206a0f3086ece9efb0a.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/d4a2cf90a377008dbfc1cedd97fde7ea.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/ce892cf46155894daee15488473b55b8.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/d4da624a19c37a83af502a7d9a12829f.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/08/69cba360bf56b28ca9ce442c7460e937.res""]","[""BPN ELECTROLYTES HYDRATION DRINK MIX: Contains sodium, potassium, chloride and magnesium in a ratio for maximum fluid regulation to optimize your performance, and maintain appropriate levels of hydration. Salted Watermelon - 50 Servings"",""PRIMARY BENEFITS: Improve daily hydration with a balanced ratio of electrolytes. Improve performance, reduce fatigue, fight dehydration, optimize performance, and improve your daily health goals"",""SUGAR FREE: Naturally sweetened and flavored. 500mg Sodium per serving from Pink Himalayan Salt. Nothing that you don't need, but everything that you do. This supplement does not contain any sugar, calories and is naturally sweetened and flavored"",""THIRD-PARTY TESTED FOR BANNED SUBSTANCES: Every batch of Informed Sport certified products are tested for prohibited substances ensuring you feel comfortable when consuming the product"",""BARE PERFORMANCE NUTRITION: We are a team of driven leaders who are passionate about helping others reach their highest levels of fitness with training, nutrition, and supplementation. We live and train behind the motto, \""GO ONE MORE\""""]",33,37,224,224,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,BARE PERFORMANCE NUTRITION,"BARE PERFORMANCE NUTRITION BPN Electrolytes Hydration Drink Mix No Sugar Keto Salted Watermelon is designed for everyday use in the Health & Household segment. Suitable for home or on-the-go use; review the product images and information for full specifications and usage guidance. BPN ELECTROLYTES HYDRATION DRINK MIX: Contains sodium, potassium, chloride and magnesium in a ratio for maximum fluid regulation to optimize your performance, and maintain appropriate levels of hydration. Salted..."
B0711VBT9M,"BARE PERFORMANCE NUTRITION BPN Electrolytes Go Packs Hydration Drink Mix | Sugar Free Electrolyte Powder | 500mg Sodium per Serving | Naturally Sweetened | Salted Watermelon, 30 Servings",beverages,"[""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/fc08a2ab9fe42d65b53fdacb404cd974.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/aee327fa74f3e47faee3d59978dfa18b.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/cc338bfe09f93991057c2f4814c25fd8.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/f9032542140210f2333e28bfa2c04c5f.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/70dc26dd3123a35d34565d6f87bc0052.res""]","[""BPN ELECTROLYTES GO PACKS (30 SINGLE SERVING PACKS): Individual servings of our balanced hydration mix, including 500mg sodium to support daily performance and maintain appropriate levels of hydration. Salted Watermelon"",""PRIMARY BENEFITS: Improve daily hydration with a balanced ratio of electrolytes. Improve performance, reduce fatigue, fight dehydration, optimize performance, and improve your daily health goals"",""SUGAR FREE: Naturally sweetened and flavored. 500mg Sodium per serving from Pink Himalayan Salt. Nothing that you don't need, but everything that you do. This supplement does not contain any sugar, and is naturally sweetened and flavored."",""THIRD-PARTY TESTED FOR BANNED SUBSTANCES: Every batch of Informed Sport certified products are tested for prohibited substances ensuring you feel comfortable when consuming the product"",""BARE PERFORMANCE NUTRITION: We are a team of driven leaders who are passionate about helping others reach their highest levels of fitness with training, nutrition, and supplementation. We live and train behind the motto, \""GO ONE MORE\""""]",60,60,,,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,BARE PERFORMANCE NUTRITION,BARE PERFORMANCE NUTRITION BPN Electrolytes Go Packs Hydration Drink Mix Sugar Free Electrolyte Powder 500mg Sodium is designed for everyday use in the Health & Household segment. Suitable for home or on-the-go use; review the product images and information for full specifications and usage guidance.
B09MV1N9SM,"BARE PERFORMANCE NUTRITION BPN Electrolytes Hydration Drink Mix | Sugar Free Electrolyte Powder | 500mg Sodium per Serving | Naturally Sweetened | Salted Watermelon, 50 Servings",snacks & sweets,"[""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/66ab043410faea21daa41bee8ef61334.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/cf09df7a15557206a0f3086ece9efb0a.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/d4a2cf90a377008dbfc1cedd97fde7ea.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/ce892cf46155894daee15488473b55b8.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/d4da624a19c37a83af502a7d9a12829f.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/69cba360bf56b28ca9ce442c7460e937.res""]","[""BPN ELECTROLYTES HYDRATION DRINK MIX: Contains sodium, potassium, chloride and magnesium in a ratio for maximum fluid regulation to optimize your performance, and maintain appropriate levels of hydration. Salted Watermelon - 50 Servings"",""PRIMARY BENEFITS: Improve daily hydration with a balanced ratio of electrolytes. Improve performance, reduce fatigue, fight dehydration, optimize performance, and improve your daily health goals"",""SUGAR FREE: Naturally sweetened and flavored. 500mg Sodium per serving from Pink Himalayan Salt. Nothing that you don't need, but everything that you do. This supplement does not contain any sugar, calories and is naturally sweetened and flavored"",""THIRD-PARTY TESTED FOR BANNED SUBSTANCES: Every batch of Informed Sport certified products are tested for prohibited substances ensuring you feel comfortable when consuming the product"",""BARE PERFORMANCE NUTRITION: We are a team of driven leaders who are passionate about helping others reach their highest levels of fitness with training, nutrition, and supplementation. We live and train behind the motto, \""GO ONE MORE\""""]",33,37,224,224,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,BARE PERFORMANCE NUTRITION,BARE PERFORMANCE NUTRITION BPN Electrolytes Hydration Drink Mix Sugar Free Electrolyte Powder 500mg Sodium per Serving is designed for everyday use in the Health & Household segment. Suitable for home or on-the-go use; review the product images and information for full specifications and usage guidance.
B01BDK9ATM,"BARE PERFORMANCE NUTRITION BPN Electrolytes Go Packs Hydration Drink Mix | Sugar Free Electrolyte Powder | 500mg Sodium per Serving | Naturally Sweetened | Lemon Lime, 30 Servings",beverages,"[""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/c20b73ba52b5d15b984cad4f6360b95c.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/c7080031e3b3bb88cdd07028f6c4fb95.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/cc338bfe09f93991057c2f4814c25fd8.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/f9032542140210f2333e28bfa2c04c5f.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/70dc26dd3123a35d34565d6f87bc0052.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/34eb399c6c63a4e8fca4db700f431d65.res""]","[""BPN ELECTROLYTES GO PACKS (30 SINGLE SERVING PACKS): Individual servings of our balanced hydration mix, including 500mg sodium to support daily performance and maintain appropriate levels of hydration. Lemon Lime"",""PRIMARY BENEFITS: Improve daily hydration with a balanced ratio of electrolytes. Improve performance, reduce fatigue, fight dehydration, optimize performance, and improve your daily health goals"",""SUGAR FREE: Naturally sweetened and flavored. 500mg Sodium per serving from Pink Himalayan Salt. Nothing that you don't need, but everything that you do. This supplement does not contain any sugar, and is naturally sweetened and flavored."",""THIRD-PARTY TESTED FOR BANNED SUBSTANCES: Every batch of Informed Sport certified products are tested for prohibited substances ensuring you feel comfortable when consuming the product"",""BARE PERFORMANCE NUTRITION: We are a team of driven leaders who are passionate about helping others reach their highest levels of fitness with training, nutrition, and supplementation. We live and train behind the motto, \""GO ONE MORE\""""]",52,52,,,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,BARE PERFORMANCE NUTRITION,BARE PERFORMANCE NUTRITION BPN Electrolytes Go Packs Hydration Drink Mix Sugar Free Electrolyte Powder 500mg Sodium is designed for everyday use in the Health & Household segment. Suitable for home or on-the-go use; review the product images and information for full specifications and usage guidance.
B0BPDX6VZV,"BARE PERFORMANCE NUTRITION BPN Electrolytes Hydration Drink Mix | Sugar Free Electrolyte Powder | 500mg Sodium per Serving | Naturally Sweetened | Strawberry, 50 Servings",snacks & sweets,"[""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/07/2e8530e31f4606b7b7c8b18b94a3e4d0.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/07/d636f30cf99dfd5be51f77b7ebf7ac8b.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/07/d4a2cf90a377008dbfc1cedd97fde7ea.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/07/3b1c9343ddbe4ac8673ef9eed3cadb8e.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/07/b3937215731c430948b64e41c9caa01e.res""]","[""BPN ELECTROLYTES HYDRATION DRINK MIX: Contains sodium, potassium, chloride and magnesium in a ratio for maximum fluid regulation to optimize your performance, and maintain appropriate levels of hydration. Strawberry - 50 Servings"",""PRIMARY BENEFITS: Improve daily hydration with a balanced ratio of electrolytes. Improve performance, reduce fatigue, fight dehydration, optimize performance, and improve your daily health goals"",""SUGAR FREE: Naturally sweetened and flavored. 500mg Sodium per serving from Pink Himalayan Salt. Nothing that you don't need, but everything that you do. This supplement does not contain any sugar, and is naturally sweetened and flavored."",""THIRD-PARTY TESTED FOR BANNED SUBSTANCES: Every batch of Informed Sport certified products are tested for prohibited substances ensuring you feel comfortable when consuming the product"",""BARE PERFORMANCE NUTRITION: We are a team of driven leaders who are passionate about helping others reach their highest levels of fitness with training, nutrition, and supplementation. We live and train behind the motto, \""GO ONE MORE\""""]",29,50,245,260,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,BARE PERFORMANCE NUTRITION,BARE PERFORMANCE NUTRITION BPN Electrolytes Hydration Drink Mix Sugar Free Electrolyte Powder 500mg Sodium per Serving is designed for everyday use in the Health & Household segment. Suitable for home or on-the-go use; review the product images and information for full specifications and usage guidance.
B0DGHN493N,"BARE PERFORMANCE NUTRITION BPN Electrolytes Hydration Drink Mix | Sugar Free Electrolyte Powder | 500mg Sodium per Serving | Naturally Sweetened | Mango, 50 Servings",beverages,"[""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/4bfc742bb477db83adfa919d586e7b52.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/eff9d48b932b108193b5e8a8b50b8f64.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/f9032542140210f2333e28bfa2c04c5f.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/05/6199ddb2ec17271427fe2b6cf3de6187.res""]","[""BPN ELECTROLYTES HYDRATION DRINK MIX: Contains sodium, potassium, chloride and magnesium in a ratio for maximum fluid regulation to optimize your performance, and maintain appropriate levels of hydration. 50 Servings"",""PRIMARY BENEFITS: Improve daily hydration with a balanced ratio of electrolytes. Improve performance, reduce fatigue, fight dehydration, optimize performance, and improve your daily health goals"",""SUGAR FREE: Naturally sweetened and flavored. 500mg Sodium per serving from Pink Himalayan Salt. Nothing that you don't need, but everything that you do. This supplement does not contain any sugar, and is naturally sweetened and flavored."",""THIRD-PARTY TESTED FOR BANNED SUBSTANCES: Informed Sport certified products are tested for prohibited substances ensuring you feel comfortable consuming. Date printed on bottle is the Manufacturing Date. Expiration Date is two years after MFG date"",""BARE PERFORMANCE NUTRITION: We are a team of driven leaders who are passionate about helping others reach their highest levels of fitness with training, nutrition, and supplementation. We live and train behind the motto, \""GO ONE MORE\""""]",30,38,2,2,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,BARE PERFORMANCE NUTRITION,BARE PERFORMANCE NUTRITION BPN Electrolytes Hydration Drink Mix Sugar Free Electrolyte Powder 500mg Sodium per Serving is designed for everyday use in the Health & Household segment. Suitable for home or on-the-go use; review the product images and information for full specifications and usage guidance.
B0C28WVJF7,"BARE PERFORMANCE NUTRITION, BPN G.1.M Go One More Sport, Endurance Training Fuel, Superior Carbohydrate & Electrolytes Powder Formula, Reduce Fatigue, Salted Watermelon, 25 Servings",beverages,"[""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/e6be1c4fa4a73683b4113f401de4b45c.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/b787f260fc1230dcf2771993045ffb73.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/2315c74aa7682c5ff5980cacb89068cf.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/e546da83a2d268ee3b764bb2d342e575.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/c9170e13e1919cd51ce63aece6a124f5.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/4dbbbd2bc9954dab65a99cae51b93f7f.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/d8a242d3ca815f2f76dc60c02ca4cb07.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/472c51db0fdf2f9548b3fa998ad1e783.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/c7fb67a788c0a88d49fd1f90b51846a1.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/06/673ec79d330a3fcc48f0883ea4387aff.res""]","[""BPN G.1.M SPORT: Superior endurance formula created with high-quality carbohydrates and electrolytes to fuel, hydrate, and improve performance during training sessions. Fuel smarter, train harder and recover more effectively. Salted Watermelon - 25 Servings"",""PRIMARY BENEFITS: Superior endurance by fueling, hydrating and improving the performance of your training session. Supports endurance training by improving training time and reducing fatigue"",""FAST DIGESTING CARBS & ESSENTIAL ELECTROLYTES: Built on a very fast-digesting carbohydrate called Cluster Dextrin, which provides a sustained release of energy. Complete profile of electrolytes"",""THIRD-PARTY TESTED FOR BANNED SUBSTANCES: Informed Sport certified products are tested for prohibited substances ensuring you feel comfortable consuming. Date printed on bottle is the Manufacturing Date."",""BARE PERFORMANCE NUTRITION: We are a team of driven leaders who are passionate about helping others reach their highest levels of fitness with training, nutrition, and supplementation. We live and train behind the motto, \""GO ONE MORE\""""]",,,74,84,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,BARE PERFORMANCE NUTRITION,"BARE PERFORMANCE NUTRITION BPN G 1 M Go One More Sport Endurance Training Fuel Superior Carbohydrate is designed for everyday use in the Health & Household segment. Suitable for home or on-the-go use; review the product images and information for full specifications and usage guidance. BPN G.1.M SPORT: Superior endurance formula created with high-quality carbohydrates and electrolytes to fuel, hydrate, and improve performance during training sessions. Fuel smarter, train harder and recover more."
B09MV1N9SM,"BARE PERFORMANCE NUTRITION BPN Electrolytes Hydration Drink Mix | Sugar Free Electrolyte Powder | 500mg Sodium per Serving | Naturally Sweetened | Salted Watermelon, 50 Servings",beverages,"[""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/66ab043410faea21daa41bee8ef61334.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/cf09df7a15557206a0f3086ece9efb0a.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/d4a2cf90a377008dbfc1cedd97fde7ea.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/ce892cf46155894daee15488473b55b8.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/d4da624a19c37a83af502a7d9a12829f.res"",""https://storage.googleapis.com/ef-prod-gather-v2/storage/Amazon-US/resources/detail/2025/09/69cba360bf56b28ca9ce442c7460e937.res""]","[""BPN ELECTROLYTES HYDRATION DRINK MIX: Contains sodium, potassium, chloride and magnesium in a ratio for maximum fluid regulation to optimize your performance, and maintain appropriate levels of hydration. Salted Watermelon - 50 Servings"",""PRIMARY BENEFITS: Improve daily hydration with a balanced ratio of electrolytes. Improve performance, reduce fatigue, fight dehydration, optimize performance, and improve your daily health goals"",""SUGAR FREE: Naturally sweetened and flavored. 500mg Sodium per serving from Pink Himalayan Salt. Nothing that you don't need, but everything that you do. This supplement does not contain any sugar, calories and is naturally sweetened and flavored"",""THIRD-PARTY TESTED FOR BANNED SUBSTANCES: Every batch of Informed Sport certified products are tested for prohibited substances ensuring you feel comfortable when consuming the product"",""BARE PERFORMANCE NUTRITION: We are a team of driven leaders who are passionate about helping others reach their highest levels of fitness with training, nutrition, and supplementation. We live and train behind the motto, \""GO ONE MORE\""""]",33,37,224,224,Health & Household › Diet & Sports Nutrition › Sports Nutrition › Electrolyte Replacements,BARE PERFORMANCE NUTRITION,BARE PERFORMANCE NUTRITION BPN Electrolytes Hydration Drink Mix Sugar Free Electrolyte Powder 500mg Sodium per Serving is designed for everyday use in the Health & Household segment. Suitable for home or on-the-go use; review the product images and information for full specifications and usage guidance.
